BRAND,LIFESTAGE,PREMIUM_CUSTOMER,TOTAL_SALES,TOTAL_UNITS,UNIQUE_CUSTOMERS,TRANSACTIONS,BRAND_TOTAL_SALES,SEG_SHARE_OF_BRAND,AVG_SPEND_PER_CUSTOMER
Burger,MIDAGE SINGLES/COUPLES,Budget,193.2,84,43,43,6830.999999999999,0.028282828282828285,4.493023255813953
Burger,MIDAGE SINGLES/COUPLES,Mainstream,211.6,92,48,48,6830.999999999999,0.03097643097643098,4.408333333333333
Burger,MIDAGE SINGLES/COUPLES,Premium,255.29999999999998,111,60,61,6830.999999999999,0.03737373737373738,4.255
Burger,NEW FAMILIES,Budget,69.0,30,18,18,6830.999999999999,0.010101010101010102,3.8333333333333335
Burger,NEW FAMILIES,Mainstream,62.099999999999994,27,13,14,6830.999999999999,0.00909090909090909,4.776923076923077
Burger,NEW FAMILIES,Premium,29.9,13,8,8,6830.999999999999,0.004377104377104378,3.7375
Burger,OLDER FAMILIES,Budget,692.3,301,152,159,6830.999999999999,0.10134680134680135,4.554605263157894
Burger,OLDER FAMILIES,Mainstream,556.5999999999999,242,117,123,6830.999999999999,0.08148148148148147,4.757264957264956
Burger,OLDER FAMILIES,Premium,317.4,138,67,71,6830.999999999999,0.046464646464646465,4.737313432835821
Burger,OLDER SINGLES/COUPLES,Budget,480.7,209,108,110,6830.999999999999,0.07037037037037037,4.450925925925926
Burger,OLDER SINGLES/COUPLES,Mainstream,397.9,173,93,93,6830.999999999999,0.05824915824915825,4.278494623655914
Burger,OLDER SINGLES/COUPLES,Premium,393.29999999999995,171,87,89,6830.999999999999,0.05757575757575758,4.520689655172413
Burger,RETIREES,Budget,296.7,129,66,66,6830.999999999999,0.043434343434343436,4.495454545454545
Burger,RETIREES,Mainstream,524.4,228,120,122,6830.999999999999,0.07676767676767678,4.37
Burger,RETIREES,Premium,310.5,135,66,68,6830.999999999999,0.04545454545454546,4.704545454545454
Burger,YOUNG FAMILIES,Budget,554.3,241,116,124,6830.999999999999,0.08114478114478114,4.778448275862068
