LIFESTAGE,PREMIUM_CUSTOMER,AVG_PACK_SIZE,MEDIAN_PACK_SIZE
MIDAGE SINGLES/COUPLES,Budget,180.1874501992032,170.0
MIDAGE SINGLES/COUPLES,Mainstream,184.5827859188142,170.0
MIDAGE SINGLES/COUPLES,Premium,181.57789678675755,170.0
NEW FAMILIES,Budget,181.16173044925125,170.0
NEW FAMILIES,Mainstream,181.69935483870967,170.0
NEW FAMILIES,Premium,181.28697293895533,170.0
OLDER FAMILIES,Budget,182.48721934369604,170.0
OLDER FAMILIES,Mainstream,182.1750210614996,170.0
OLDER FAMILIES,Premium,181.46810221586847,170.0
OLDER SINGLES/COUPLES,Budget,182.28918346281307,170.0
OLDER SINGLES/COUPLES,Mainstream,181.64210066601157,170.0
OLDER SINGLES/COUPLES,Premium,183.25499915507237,170.0
RETIREES,Budget,182.96019998684298,170.0
RETIREES,Mainstream,182.28906177210473,170.0
RETIREES,Premium,182.9752596212584,170.0
YOUNG FAMILIES,Budget,182.490900533417,170.0
YOUNG FAMILIES,Mainstream,181.5365305648098,170.0
YOUNG FAMILIES,Premium,181.35198477903657,170.0
YOUNG SINGLES/COUPLES,Budget,180.69443843323955,170.0
YOUNG SINGLES/COUPLES,Mainstream,184.82833029634602,170.0
YOUNG SINGLES/COUPLES,Premium,181.05604203152365,170.0
