LIFESTAGE,PREMIUM_CUSTOMER,BRAND,TOTAL_SALES
MIDAGE SINGLES/COUPLES,Budget,Kettle,6736.2
MIDAGE SINGLES/COUPLES,Budget,Doritos,4553.6
MIDAGE SINGLES/COUPLES,Budget,Smiths,4251.3
MIDAGE SINGLES/COUPLES,Mainstream,Kettle,20231.8
MIDAGE SINGLES/COUPLES,Mainstream,Doritos,11117.65
MIDAGE SINGLES/COUPLES,Mainstream,Smiths,10173.1
MIDAGE SINGLES/COUPLES,Premium,Kettle,11390.2
MIDAGE SINGLES/COUPLES,Premium,Doritos,7054.35
MIDAGE SINGLES/COUPLES,Premium,Smiths,6724.3
NEW FAMILIES,Budget,Kettle,4731.6
NEW FAMILIES,Budget,Doritos,2934.85
NEW FAMILIES,Budget,Smiths,2335.4
NEW FAMILIES,Mainstream,Kettle,3847.0
NEW FAMILIES,Mainstream,Doritos,2371.7000000000003
NEW FAMILIES,Mainstream,Smiths,1720.1000000000001
NEW FAMILIES,Premium,Kettle,2267.6
NEW FAMILIES,Premium,Doritos,1387.0
NEW FAMILIES,Premium,Smiths,1237.9
OLDER FAMILIES,Budget,Kettle,32058.0
OLDER FAMILIES,Budget,Smiths,21651.1
OLDER FAMILIES,Budget,Doritos,20164.95
OLDER FAMILIES,Mainstream,Kettle,19420.2
OLDER FAMILIES,Mainstream,Smiths,12923.9
OLDER FAMILIES,Mainstream,Doritos,12477.75
OLDER FAMILIES,Premium,Kettle,14505.8
OLDER FAMILIES,Premium,Smiths,10522.5
OLDER FAMILIES,Premium,Doritos,10480.2
OLDER SINGLES/COUPLES,Budget,Kettle,29066.4
OLDER SINGLES/COUPLES,Budget,Doritos,16794.600000000002
OLDER SINGLES/COUPLES,Budget,Smiths,15249.6
OLDER SINGLES/COUPLES,Mainstream,Kettle,26852.8
OLDER SINGLES/COUPLES,Mainstream,Doritos,17292.600000000002
OLDER SINGLES/COUPLES,Mainstream,Smiths,15129.300000000001
OLDER SINGLES/COUPLES,Premium,Kettle,27943.4
OLDER SINGLES/COUPLES,Premium,Doritos,16898.25
OLDER SINGLES/COUPLES,Premium,Smiths,14769.1
RETIREES,Budget,Kettle,24340.0
RETIREES,Budget,Doritos,14951.6
RETIREES,Budget,Smiths,12242.7
RETIREES,Mainstream,Kettle,31652.4
RETIREES,Mainstream,Doritos,19646.95
RETIREES,Mainstream,Smiths,17301.6
RETIREES,Premium,Kettle,20922.4
RETIREES,Premium,Doritos,12173.85
RETIREES,Premium,Smiths,10603.1
YOUNG FAMILIES,Budget,Kettle,26369.6
YOUNG FAMILIES,Budget,Smiths,17380.8
YOUNG FAMILIES,Budget,Doritos,17214.25
YOUNG FAMILIES,Mainstream,Kettle,17049.2
YOUNG FAMILIES,Mainstream,Smiths,12212.5
YOUNG FAMILIES,Mainstream,Doritos,11026.35
YOUNG FAMILIES,Premium,Kettle,16614.2
YOUNG FAMILIES,Premium,Smiths,10046.4
YOUNG FAMILIES,Premium,Doritos,9691.1
YOUNG SINGLES/COUPLES,Budget,Kettle,11106.0
YOUNG SINGLES/COUPLES,Budget,Smiths,7633.1
YOUNG SINGLES/COUPLES,Budget,Doritos,7347.400000000001
YOUNG SINGLES/COUPLES,Mainstream,Kettle,35423.6
YOUNG SINGLES/COUPLES,Mainstream,Doritos,21705.9
YOUNG SINGLES/COUPLES,Mainstream,Pringles,16006.2
YOUNG SINGLES/COUPLES,Premium,Kettle,7711.4
YOUNG SINGLES/COUPLES,Premium,Smiths,5280.7
YOUNG SINGLES/COUPLES,Premium,Doritos,4606.0
