LIFESTAGE,BRAND,TOTAL_SALES,SHARE_WITHIN_LIFESTAGE
MIDAGE SINGLES/COUPLES,Kettle,38358.2,0.2076207312208358
MIDAGE SINGLES/COUPLES,Doritos,22725.600000000002,0.12300644163261641
MIDAGE SINGLES/COUPLES,Smiths,21148.7,0.11447118369397132
MIDAGE SINGLES/COUPLES,Pringles,16875.7,0.0913427943402834
MIDAGE SINGLES/COUPLES,Infuzions,9833.4,0.053225065263410865
NEW FAMILIES,Kettle,10846.2,0.2150596479122487
NEW FAMILIES,Doritos,6693.55,0.1327204464497273
NEW FAMILIES,Smiths,5293.400000000001,0.10495811807441291
NEW FAMILIES,Pringles,4898.8,0.09713394582365473
NEW FAMILIES,Infuzions,2696.0,0.053456584865798386
OLDER FAMILIES,Kettle,65984.0,0.18651813961271707
OLDER FAMILIES,Smiths,45097.5,0.1274779007211522
OLDER FAMILIES,Doritos,43122.9,0.12189626398377237
OLDER FAMILIES,Pringles,30584.2,0.08645289896858725
OLDER FAMILIES,RRD,21448.2,0.06062800621425615
OLDER SINGLES/COUPLES,Kettle,83862.6,0.20839531758737592
OLDER SINGLES/COUPLES,Doritos,50985.450000000004,0.1266968713715682
OLDER SINGLES/COUPLES,Smiths,45148.0,0.11219103388679634
OLDER SINGLES/COUPLES,Pringles,37603.1,0.09344224918819419
OLDER SINGLES/COUPLES,Infuzions,20720.6,0.05148988962423036
RETIREES,Kettle,76914.8,0.2098796930397475
RETIREES,Doritos,46772.4,0.1276292333170246
RETIREES,Smiths,40147.4,0.10955139957906616
RETIREES,Pringles,34898.4,0.09522829779936141
RETIREES,Infuzions,18899.0,0.05157026110395122
YOUNG FAMILIES,Kettle,60033.0,0.18988164540686825
YOUNG FAMILIES,Smiths,39639.7,0.12537856611254866
YOUNG FAMILIES,Doritos,37931.700000000004,0.11997623988605775
YOUNG FAMILIES,Pringles,27498.4,0.08697618706471817
YOUNG FAMILIES,RRD,18695.7,0.05913364779426627
YOUNG SINGLES/COUPLES,Kettle,54241.0,0.208294531639717
YOUNG SINGLES/COUPLES,Doritos,33659.3,0.12925735382497974
YOUNG SINGLES/COUPLES,Smiths,28179.5,0.10821400332481712
YOUNG SINGLES/COUPLES,Pringles,25296.9,0.09714433615598453
YOUNG SINGLES/COUPLES,Infuzions,13793.0,0.05296743192246855
