BRAND,DOMINATING_LIFESTAGE,DOMINATING_SALES,SHARE_OF_BRAND
Burger,OLDER FAMILIES,1566.3,0.22929292929292933
Ccs,OLDER FAMILIES,3830.4,0.21187129747938202
Cheetos,OLDER FAMILIES,3686.2,0.21831857620894904
Cheezels,OLDER SINGLES/COUPLES,8310.0,0.20759482286990474
Cobs,OLDER SINGLES/COUPLES,14812.4,0.20989715147272628
Doritos,OLDER SINGLES/COUPLES,50985.450000000004,0.2107787022992597
French,OLDER FAMILIES,1632.0,0.20582671206961786
Grain,OLDER SINGLES/COUPLES,9028.800000000001,0.20973406924234822
Grnwves,OLDER FAMILIES,2030.5,0.2369753979739508
Infuzions,OLDER SINGLES/COUPLES,20720.6,0.20919840561507796
Kettle,OLDER SINGLES/COUPLES,83862.6,0.21490017163805436
Natural,OLDER FAMILIES,7341.0,0.21419817927170867
Ncc,OLDER FAMILIES,1860.0,0.23117076808351977
Old,OLDER SINGLES/COUPLES,18992.399999999998,0.20920173023987415
Pringles,OLDER SINGLES/COUPLES,37603.1,0.2116630219723003
RRD,OLDER FAMILIES,21448.2,0.22566125875891674
Smiths,OLDER SINGLES/COUPLES,45148.0,0.20096664117563792
Snbts,OLDER FAMILIES,1111.8,0.21902210314802412
Sunbites,YOUNG FAMILIES,1001.3,0.21766444937176643
Thins,OLDER SINGLES/COUPLES,18885.899999999998,0.2125533890436397
Tostitos,OLDER SINGLES/COUPLES,17248.0,0.21616852321605823
Twisties,OLDER SINGLES/COUPLES,16943.3,0.20783689330868563
Tyrrells,OLDER SINGLES/COUPLES,10810.800000000001,0.20931934618199563
Woolworths,OLDER FAMILIES,11067.199999999999,0.22428845888828539
