LIFESTAGE,PREMIUM_CUSTOMER,PACK_SIZE_BAND,TOTAL_UNITS
MIDAGE SINGLES/COUPLES,Budget,≤100g,182
MIDAGE SINGLES/COUPLES,Budget,101–150g,1829
MIDAGE SINGLES/COUPLES,Budget,151–200g,5584
MIDAGE SINGLES/COUPLES,Budget,201–300g,809
MIDAGE SINGLES/COUPLES,Budget,>300g,1092
MIDAGE SINGLES/COUPLES,Mainstream,≤100g,228
MIDAGE SINGLES/COUPLES,Mainstream,101–150g,4751
MIDAGE SINGLES/COUPLES,Mainstream,151–200g,12696
MIDAGE SINGLES/COUPLES,Mainstream,201–300g,1868
MIDAGE SINGLES/COUPLES,Mainstream,>300g,3156
MIDAGE SINGLES/COUPLES,Premium,≤100g,324
MIDAGE SINGLES/COUPLES,Premium,101–150g,3041
MIDAGE SINGLES/COUPLES,Premium,151–200g,8932
MIDAGE SINGLES/COUPLES,Premium,201–300g,1286
MIDAGE SINGLES/COUPLES,Premium,>300g,1943
NEW FAMILIES,Budget,≤100g,76
NEW FAMILIES,Budget,101–150g,1235
NEW FAMILIES,Budget,151–200g,3138
NEW FAMILIES,Budget,201–300g,423
NEW FAMILIES,Budget,>300g,699
NEW FAMILIES,Mainstream,≤100g,41
NEW FAMILIES,Mainstream,101–150g,924
NEW FAMILIES,Mainstream,151–200g,2464
NEW FAMILIES,Mainstream,201–300g,350
NEW FAMILIES,Mainstream,>300g,540
NEW FAMILIES,Premium,≤100g,40
NEW FAMILIES,Premium,101–150g,650
NEW FAMILIES,Premium,151–200g,1617
NEW FAMILIES,Premium,201–300g,279
NEW FAMILIES,Premium,>300g,371
OLDER FAMILIES,Budget,≤100g,866
OLDER FAMILIES,Budget,101–150g,8207
OLDER FAMILIES,Budget,151–200g,26495
OLDER FAMILIES,Budget,201–300g,3732
OLDER FAMILIES,Budget,>300g,5765
OLDER FAMILIES,Mainstream,≤100g,509
OLDER FAMILIES,Mainstream,101–150g,5022
OLDER FAMILIES,Mainstream,151–200g,16380
OLDER FAMILIES,Mainstream,201–300g,2379
OLDER FAMILIES,Mainstream,>300g,3466
OLDER FAMILIES,Premium,≤100g,441
OLDER FAMILIES,Premium,101–150g,4052
OLDER FAMILIES,Premium,151–200g,12793
OLDER FAMILIES,Premium,201–300g,1814
OLDER FAMILIES,Premium,>300g,3071
OLDER SINGLES/COUPLES,Budget,≤100g,584
OLDER SINGLES/COUPLES,Budget,101–150g,7312
OLDER SINGLES/COUPLES,Budget,151–200g,19868
OLDER SINGLES/COUPLES,Budget,201–300g,2850
OLDER SINGLES/COUPLES,Budget,>300g,4606
OLDER SINGLES/COUPLES,Mainstream,≤100g,595
OLDER SINGLES/COUPLES,Mainstream,101–150g,7019
OLDER SINGLES/COUPLES,Mainstream,151–200g,20153
OLDER SINGLES/COUPLES,Mainstream,201–300g,2836
OLDER SINGLES/COUPLES,Mainstream,>300g,4394
OLDER SINGLES/COUPLES,Premium,≤100g,508
OLDER SINGLES/COUPLES,Premium,101–150g,6803
OLDER SINGLES/COUPLES,Premium,151–200g,19359
OLDER SINGLES/COUPLES,Premium,201–300g,2792
OLDER SINGLES/COUPLES,Premium,>300g,4522
RETIREES,Budget,≤100g,414
RETIREES,Budget,101–150g,5868
RETIREES,Budget,151–200g,16393
RETIREES,Budget,201–300g,2280
RETIREES,Budget,>300g,3809
RETIREES,Mainstream,≤100g,705
RETIREES,Mainstream,101–150g,8204
RETIREES,Mainstream,151–200g,22947
RETIREES,Mainstream,201–300g,3394
RETIREES,Mainstream,>300g,5268
RETIREES,Premium,≤100g,384
RETIREES,Premium,101–150g,5282
RETIREES,Premium,151–200g,13878
RETIREES,Premium,201–300g,2072
RETIREES,Premium,>300g,3268
YOUNG FAMILIES,Budget,≤100g,738
YOUNG FAMILIES,Budget,101–150g,6748
YOUNG FAMILIES,Budget,151–200g,21861
YOUNG FAMILIES,Budget,201–300g,3002
YOUNG FAMILIES,Budget,>300g,4762
YOUNG FAMILIES,Mainstream,≤100g,543
YOUNG FAMILIES,Mainstream,101–150g,4618
YOUNG FAMILIES,Mainstream,151–200g,14759
YOUNG FAMILIES,Mainstream,201–300g,1976
YOUNG FAMILIES,Mainstream,>300g,3148
YOUNG FAMILIES,Premium,≤100g,423
YOUNG FAMILIES,Premium,101–150g,4210
YOUNG FAMILIES,Premium,151–200g,13227
YOUNG FAMILIES,Premium,201–300g,1809
YOUNG FAMILIES,Premium,>300g,2737
YOUNG SINGLES/COUPLES,Budget,≤100g,354
YOUNG SINGLES/COUPLES,Budget,101–150g,3079
YOUNG SINGLES/COUPLES,Budget,151–200g,9850
YOUNG SINGLES/COUPLES,Budget,201–300g,1399
YOUNG SINGLES/COUPLES,Budget,>300g,1989
YOUNG SINGLES/COUPLES,Mainstream,≤100g,340
YOUNG SINGLES/COUPLES,Mainstream,101–150g,8820
YOUNG SINGLES/COUPLES,Mainstream,151–200g,20805
YOUNG SINGLES/COUPLES,Mainstream,201–300g,3159
YOUNG SINGLES/COUPLES,Mainstream,>300g,5508
YOUNG SINGLES/COUPLES,Premium,≤100g,252
YOUNG SINGLES/COUPLES,Premium,101–150g,2122
YOUNG SINGLES/COUPLES,Premium,151–200g,6620
YOUNG SINGLES/COUPLES,Premium,201–300g,966
YOUNG SINGLES/COUPLES,Premium,>300g,1371
